filename,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_mean20,mfcc_std1,mfcc_std2,mfcc_std3,mfcc_std4,mfcc_std5,mfcc_std6,mfcc_std7,mfcc_std8,mfcc_std9,mfcc_std10,mfcc_std11,mfcc_std12,mfcc_std13,mfcc_std14,mfcc_std15,mfcc_std16,mfcc_std17,mfcc_std18,mfcc_std19,mfcc_std20,cent_mean,cent_std,cent_skew,rolloff_mean,rolloff_std,label
/training-b/b0001.wav,-430.71738,82.86632,65.16488,43.454292,25.369417,15.7815485,14.956469,19.204264,23.41201,23.885557,19.940922,13.584174,7.7879705,4.5946984,4.174167,5.2035785,6.0691366,5.9653172,5.1957874,4.6254935,9.988644,12.684047,9.173711,5.7729135,4.653004,4.6066194,3.9754937,3.2457867,3.0435572,3.015888,2.9632063,2.952322,2.8268373,2.59001,2.52449,2.586176,2.4992144,2.365155,2.4349284,2.5462592,32.465381822086066,14.855400394467337,1.4494054485540822,42.069498697916664,25.901952753970527,1
/training-b/b0002.wav,-445.02597,56.20254,52.10899,46.191303,39.50349,33.040474,27.490824,23.129417,19.862696,17.3782,15.320395,13.423915,11.570424,9.774193,8.126069,6.729776,5.6542096,4.9109,4.455029,4.2034245,12.097001,16.0375,13.287296,10.054976,7.7121964,6.7523737,6.3805704,5.872459,5.1749234,4.4997787,3.9649744,3.5042367,3.0304756,2.587019,2.2613952,2.0373647,1.8753432,1.8063226,1.8182638,1.8355684,32.72896136355257,13.244653549555808,1.1578921309851635,52.387491861979164,24.962483488199307,1
/training-b/b0003.wav,-442.76523,61.87,52.075684,39.62399,28.420036,21.157091,18.35572,18.546751,19.374552,18.93924,16.6528,13.240599,10.034944,8.07368,7.5451756,7.837762,8.060063,7.6408906,6.628055,5.5443215,17.742443,22.189539,15.08975,8.681059,8.71889,10.012463,8.548132,5.797942,4.6256447,4.7046614,4.2566404,3.934691,4.290003,4.4627166,4.258084,4.0812883,3.772966,3.0454607,2.5007281,2.7995336,31.226686901341985,19.619658432774184,2.105191676670302,39.377848307291664,33.109189402386264,1
/training-b/b0004.wav,-425.70776,118.783394,89.25058,53.484726,23.497269,6.9198494,4.55568,11.011607,18.618395,21.713484,18.908182,12.722821,7.0446167,4.369896,4.6322517,5.8910804,6.115865,4.6709065,2.5028293,1.174383,19.138077,21.890602,13.111796,6.5605707,7.4139385,9.332739,8.137697,5.784119,4.7930665,4.415351,3.680013,3.486383,3.5588152,3.1543884,2.7894526,2.9591057,2.9931989,2.6872034,2.4800158,2.4805214,42.565849816336694,30.2558694192375,3.5869030857332342,65.09806315104167,70.94837735390148,1
/training-b/b0005.wav,-442.681,102.735565,78.41978,49.48491,25.909048,13.44078,11.83233,15.868008,19.155483,17.930798,12.538136,6.344745,2.9589984,3.692194,6.9946933,9.8578415,9.996583,7.308041,3.6543598,1.3536502,19.967548,23.06414,14.077904,8.583982,9.646203,10.709096,8.709731,5.614931,3.8672314,3.151418,3.1363342,4.0065775,4.1666427,3.3410337,2.8704972,3.1668937,3.095968,2.7638345,2.710606,2.515616,31.292803260765098,23.34256783906958,4.09546261489609,42.368570963541664,50.526890072110675,1
/training-b/b0006.wav,-438.7712,64.81254,59.346745,51.68613,43.38592,35.71682,29.326302,24.233028,20.084936,16.496311,13.281836,10.499629,8.331453,6.9045897,6.168929,5.8931513,5.768835,5.5514584,5.1536202,4.6431103,12.839554,16.612452,13.017934,9.873782,8.726791,8.190747,6.982825,5.475799,4.527316,4.214592,4.0143275,3.7781913,3.5709069,3.3103445,2.9906626,2.7841418,2.7056499,2.5923278,2.4233322,2.2905195,37.16476251895248,18.4902073224637,3.4397283575668065,61.7584228515625,37.952435480334906,1
/training-b/b0007.wav,-419.36517,106.42008,80.11457,49.28279,24.519264,11.930536,10.938533,15.6543455,19.291811,18.045315,12.697274,7.0579143,4.650863,6.251235,9.617454,11.411582,9.686623,5.1806846,0.6545525,-1.1874062,17.729198,18.191732,9.296407,7.0569115,9.752068,10.017442,7.352724,4.9429893,4.478219,3.7653031,3.2999458,3.9556196,3.9776063,3.2872565,3.284941,3.4556444,2.9752603,2.8960142,3.4942126,3.6411412,29.559646290972992,20.838879744855404,5.283248055264087,35.4400634765625,38.29497448945849,1
/training-b/b0009.wav,-421.94058,48.30078,44.04152,38.472454,32.96587,28.406898,25.090218,22.831749,21.14969,19.525984,17.67219,15.617599,13.579276,11.771689,10.2996645,9.145633,8.214772,7.4140472,6.717353,6.1616087,12.945428,15.859552,11.002232,7.9773116,7.082267,6.4183083,5.1889524,3.6269002,2.633092,2.5813107,2.7756405,2.8141034,2.6887445,2.5156605,2.3411307,2.195012,2.089192,1.9804511,1.8929502,1.8755713,27.153103944889608,16.269715949039398,6.065078796889187,37.5335693359375,23.211842249657664,1
/training-b/b0010.wav,-438.49295,61.068214,51.55074,39.81133,29.443935,22.70001,20.047693,20.271019,21.251781,21.184769,19.374876,16.244383,12.841512,10.179181,8.711987,8.254911,8.295654,8.362894,8.226086,7.88353,14.211018,16.370766,9.768379,6.2955995,5.590651,5.462195,4.776151,4.2073812,4.0649157,3.6403759,2.9960217,3.1454692,3.8585155,4.0975122,3.7644005,3.2536342,2.8486955,2.6272101,2.5853424,2.5566912,25.787951779198128,16.432652967828673,7.358703933478292,36.3372802734375,25.90689225516594,1
/training-b/b0011.wav,-448.63354,55.430943,50.723244,44.252304,37.451706,31.462532,26.861189,23.657692,21.46686,19.746895,18.031446,16.08826,13.949492,11.81783,9.923656,8.42116,7.3573446,6.6900635,6.3203564,6.1254034,14.467809,18.60567,14.202992,9.635723,6.542529,5.214205,4.8449774,4.3609076,3.6058452,3.0205953,2.8267386,2.8173492,2.7984548,2.7813268,2.7798967,2.6881537,2.4918947,2.370034,2.3895588,2.378778,28.70289227725851,16.436394118004415,5.99919025458395,44.163004557291664,25.73161106814776,1
/training-b/b0012.wav,-547.5817,111.71696,81.064354,45.215298,17.187727,4.6386237,7.04412,17.002104,25.355803,26.218334,19.485966,9.730477,2.4691424,0.6878682,3.5275605,7.568197,9.487617,8.116886,4.760136,1.8062462,17.331877,19.164984,12.543839,7.805884,5.4665685,5.297405,4.580605,3.746499,3.5789418,3.5317125,3.7392352,3.9367068,3.6341517,3.0119998,2.780933,2.8314354,2.7903295,2.9372425,3.150538,3.0070944,38.877378919138536,28.122045936310958,4.702306515485401,49.4964599609375,55.269129201041565,1
/training-b/b0014.wav,-426.57227,88.95057,71.766174,50.11906,30.949242,18.906063,14.752799,15.865185,18.258568,18.844261,16.698658,12.871022,9.15198,6.745215,5.671129,5.123606,4.336282,3.2358928,2.4184697,2.5449643,9.441509,12.011232,9.220532,7.4186335,6.8580317,6.020868,4.8502917,4.1516795,3.9723072,3.7578013,3.4107585,3.0457268,2.6896474,2.6470819,2.9639323,3.0978363,2.9501584,2.918695,2.985526,2.8698196,31.958100842879222,17.575162340463653,3.530160053809732,41.7205810546875,32.57794889567139,1
/training-b/b0015.wav,-409.16852,57.95839,51.382576,42.40234,33.0574,25.007866,19.20558,15.84247,14.4660225,14.244695,14.326547,14.124328,13.400551,12.191199,10.686205,9.127547,7.727642,6.618457,5.84567,5.389158,12.072139,14.822101,10.016988,6.4715133,5.894119,6.6852927,7.0390368,6.357785,5.06945,4.086399,4.0032687,4.2500653,4.132538,3.6571183,3.203313,2.991478,2.916043,2.7893767,2.5686142,2.338625,34.12614675185049,22.15326226124349,4.790367567296494,48.050944010416664,43.84262954834261,1
/training-b/b0017.wav,-418.08768,95.03968,76.68737,53.0232,31.008305,15.537261,7.9114923,6.2361565,7.2016473,8.0826435,7.8605347,7.04223,6.592356,6.878539,7.3568015,7.085776,5.560572,3.1999705,1.1382787,0.49214822,18.782005,22.814806,13.887987,7.224694,9.474893,10.360541,7.8378778,6.1717443,7.0115194,6.6589074,5.1965446,5.270659,5.8708773,5.034498,3.4651399,3.011002,3.2316988,3.2464008,3.486687,3.6686144,45.73545672238111,38.96055338888294,3.560185248388256,77.55940755208333,99.16860326110178,1
